# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
4.734326599266761026e-01 -2.371026738964010505e-01 -1.285534889934945857e-01 -6.251209530387114022e-02 -2.596608439892408859e-02 -8.413082635694117684e-03 -1.736139136329381202e-03 -1.191588726561432156e-04
4.693158541881833345e-01 -2.374706468701781592e-01 -1.286788617471305018e-01 -6.254799458975757176e-02 -2.597416917699851835e-02 -8.414405258941902443e-03 -1.736294663354789707e-03 -1.191718487647872146e-04
4.652700278589747551e-01 -2.378165445794304667e-01 -1.287968830787580288e-01 -6.258195599457000435e-02 -2.598192607229002360e-02 -8.415727730353012026e-03 -1.736466750992369731e-03 -1.191876510872072833e-04
4.612933609541972624e-01 -2.381362404670364086e-01 -1.289039470966921730e-01 -6.261155760802905590e-02 -2.598801427280574700e-02 -8.416455017958027196e-03 -1.736470178774353335e-03 -1.191808322550854662e-04
4.573840951833989532e-01 -2.384390537756246875e-01 -1.290056379503609074e-01 -6.263987266559492562e-02 -2.599395811005125734e-02 -8.417227273560382028e-03 -1.736499966335834991e-03 -1.191780404423142142e-04
4.535405313583283915e-01 -2.387219091409025773e-01 -1.291002064842220465e-01 -6.266598155123026537e-02 -2.599932444222374794e-02 -8.417870440258976017e-03 -1.736504191325217647e-03 -1.191722209082513983e-04
4.497610269303423669e-01 -2.389820485646265702e-01 -1.291858960347728180e-01 -6.268887736991619886e-02 -2.600358842373326484e-02 -8.418153982274183267e-03 -1.736411155194075677e-03 -1.191535242820348757e-04
4.460439936499261959e-01 -2.392357419941180119e-01 -1.292719917790607354e-01 -6.271358759305213637e-02 -2.600924099628904029e-02 -8.419127878622943706e-03 -1.736541267391364558e-03 -1.191657385630140930e-04
4.423878953413203363e-01 -2.394759750363995021e-01 -1.293531969988682695e-01 -6.273670730796271355e-02 -2.601443363235500517e-02 -8.419979010543372777e-03 -1.736642301367385087e-03 -1.191742586924627364e-04
4.387912457856998349e-01 -2.396982962726015298e-01 -1.294268757266024972e-01 -6.275677197106654948e-02 -2.601841475523090919e-02 -8.420384691772087038e-03 -1.736615441404739746e-03 -1.191655791654771618e-04
4.352526067067828963e-01 -2.399088456646203404e-01 -1.294976047244575934e-01 -6.277665790236003351e-02 -2.602274049241713738e-02 -8.421028431717426238e-03 -1.736672011328551680e-03 -1.191686510537187573e-04
4.317705858531286633e-01 -2.401014384394071222e-01 -1.295610725934804863e-01 -6.279375712947549149e-02 -2.602603934690660148e-02 -8.421317625193144862e-03 -1.736629969530236427e-03 -1.191585643330197813e-04
4.283438351717545611e-01 -2.402969616985546342e-01 -1.296291331635445188e-01 -6.281451588918893214e-02 -2.603151009277510780e-02 -8.422594968896071274e-03 -1.736897680591738616e-03 -1.191910839509754754e-04
4.249710490680400077e-01 -2.404781076503770265e-01 -1.296902786346836312e-01 -6.283193822724142397e-02 -2.603544304918540414e-02 -8.423253069441201391e-03 -1.736980392119079342e-03 -1.191984624478101816e-04
4.216509627471959343e-01 -2.406378318543201944e-01 -1.297410133508024033e-01 -6.284439281483053530e-02 -2.603711402966863570e-02 -8.422999265922756496e-03 -1.736789650666200040e-03 -1.191686337727425739e-04
4.183823506328765429e-01 -2.407898256082453559e-01 -1.297907419106153482e-01 -6.285762619515247729e-02 -2.603958184818559035e-02 -8.423169803605686651e-03 -1.736738731520207513e-03 -1.191582448312671441e-04
4.151640248587775694e-01 -2.409411709643208832e-01 -1.298429099449789903e-01 -6.287325465937182445e-02 -2.604355558998774911e-02 -8.424042020686584031e-03 -1.736909851603598426e-03 -1.191784600274643671e-04
